,Survived,Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,0,2,22.0,1,0,0,1,0,0,1
1,1,0,38.0,1,0,1,0,1,0,0
2,1,2,26.0,0,0,1,0,0,0,1
3,1,0,35.0,1,0,1,0,0,0,1
4,0,2,35.0,0,0,0,1,0,0,1
5,0,2,29.69911764705882,0,0,0,1,0,1,0
6,0,0,54.0,0,0,0,1,0,0,1
7,0,2,2.0,3,1,0,1,0,0,1
8,1,2,27.0,0,2,1,0,0,0,1
9,1,1,14.0,1,0,1,0,1,0,0
10,1,2,4.0,1,1,1,0,0,0,1
11,1,0,58.0,0,0,1,0,0,0,1
12,0,2,20.0,0,0,0,1,0,0,1
13,0,2,39.0,1,5,0,1,0,0,1
14,0,2,14.0,0,0,1,0,0,0,1
15,1,1,55.0,0,0,1,0,0,0,1
16,0,2,2.0,4,1,0,1,0,1,0
17,1,1,29.69911764705882,0,0,0,1,0,0,1
18,0,2,31.0,1,0,1,0,0,0,1
19,1,2,29.69911764705882,0,0,1,0,1,0,0
20,0,1,35.0,0,0,0,1,0,0,1
21,1,1,34.0,0,0,0,1,0,0,1
22,1,2,15.0,0,0,1,0,0,1,0
23,1,0,28.0,0,0,0,1,0,0,1
24,0,2,8.0,3,1,1,0,0,0,1
25,1,2,38.0,1,5,1,0,0,0,1
26,0,2,29.69911764705882,0,0,0,1,1,0,0
27,0,0,19.0,3,2,0,1,0,0,1
28,1,2,29.69911764705882,0,0,1,0,0,1,0
29,0,2,29.69911764705882,0,0,0,1,0,0,1
30,0,0,40.0,0,0,0,1,1,0,0
31,1,0,29.69911764705882,1,0,1,0,1,0,0
32,1,2,29.69911764705882,0,0,1,0,0,1,0
33,0,1,66.0,0,0,0,1,0,0,1
34,0,0,28.0,1,0,0,1,1,0,0
35,0,0,42.0,1,0,0,1,0,0,1
36,1,2,29.69911764705882,0,0,0,1,1,0,0
37,0,2,21.0,0,0,0,1,0,0,1
38,0,2,18.0,2,0,1,0,0,0,1
39,1,2,14.0,1,0,1,0,1,0,0
40,0,2,40.0,1,0,1,0,0,0,1
41,0,1,27.0,1,0,1,0,0,0,1
42,0,2,29.69911764705882,0,0,0,1,1,0,0
43,1,1,3.0,1,2,1,0,1,0,0
44,1,2,19.0,0,0,1,0,0,1,0
45,0,2,29.69911764705882,0,0,0,1,0,0,1
46,0,2,29.69911764705882,1,0,0,1,0,1,0
47,1,2,29.69911764705882,0,0,1,0,0,1,0
48,0,2,29.69911764705882,2,0,0,1,1,0,0
49,0,2,18.0,1,0,1,0,0,0,1
50,0,2,7.0,4,1,0,1,0,0,1
51,0,2,21.0,0,0,0,1,0,0,1
52,1,0,49.0,1,0,1,0,1,0,0
53,1,1,29.0,1,0,1,0,0,0,1
54,0,0,65.0,0,1,0,1,1,0,0
55,1,0,29.69911764705882,0,0,0,1,0,0,1
56,1,1,21.0,0,0,1,0,0,0,1
57,0,2,28.5,0,0,0,1,1,0,0
58,1,1,5.0,1,2,1,0,0,0,1
59,0,2,11.0,5,2,0,1,0,0,1
60,0,2,22.0,0,0,0,1,1,0,0
61,1,0,38.0,0,0,1,0,0,0,0
62,0,0,45.0,1,0,0,1,0,0,1
63,0,2,4.0,3,2,0,1,0,0,1
64,0,0,29.69911764705882,0,0,0,1,1,0,0
65,1,2,29.69911764705882,1,1,0,1,1,0,0
66,1,1,29.0,0,0,1,0,0,0,1
67,0,2,19.0,0,0,0,1,0,0,1
68,1,2,17.0,4,2,1,0,0,0,1
69,0,2,26.0,2,0,0,1,0,0,1
70,0,1,32.0,0,0,0,1,0,0,1
71,0,2,16.0,5,2,1,0,0,0,1
72,0,1,21.0,0,0,0,1,0,0,1
73,0,2,26.0,1,0,0,1,1,0,0
74,1,2,32.0,0,0,0,1,0,0,1
75,0,2,25.0,0,0,0,1,0,0,1
76,0,2,29.69911764705882,0,0,0,1,0,0,1
77,0,2,29.69911764705882,0,0,0,1,0,0,1
78,1,1,0.83,0,2,0,1,0,0,1
79,1,2,30.0,0,0,1,0,0,0,1
80,0,2,22.0,0,0,0,1,0,0,1
81,1,2,29.0,0,0,0,1,0,0,1
82,1,2,29.69911764705882,0,0,1,0,0,1,0
83,0,0,28.0,0,0,0,1,0,0,1
84,1,1,17.0,0,0,1,0,0,0,1
85,1,2,33.0,3,0,1,0,0,0,1
86,0,2,16.0,1,3,0,1,0,0,1
87,0,2,29.69911764705882,0,0,0,1,0,0,1
88,1,0,23.0,3,2,1,0,0,0,1
89,0,2,24.0,0,0,0,1,0,0,1
90,0,2,29.0,0,0,0,1,0,0,1
91,0,2,20.0,0,0,0,1,0,0,1
92,0,0,46.0,1,0,0,1,0,0,1
93,0,2,26.0,1,2,0,1,0,0,1
94,0,2,59.0,0,0,0,1,0,0,1
95,0,2,29.69911764705882,0,0,0,1,0,0,1
96,0,0,71.0,0,0,0,1,1,0,0
97,1,0,23.0,0,1,0,1,1,0,0
98,1,1,34.0,0,1,1,0,0,0,1
99,0,1,34.0,1,0,0,1,0,0,1
100,0,2,28.0,0,0,1,0,0,0,1
101,0,2,29.69911764705882,0,0,0,1,0,0,1
102,0,0,21.0,0,1,0,1,0,0,1
103,0,2,33.0,0,0,0,1,0,0,1
104,0,2,37.0,2,0,0,1,0,0,1
105,0,2,28.0,0,0,0,1,0,0,1
106,1,2,21.0,0,0,1,0,0,0,1
107,1,2,29.69911764705882,0,0,0,1,0,0,1
108,0,2,38.0,0,0,0,1,0,0,1
109,1,2,29.69911764705882,1,0,1,0,0,1,0
110,0,0,47.0,0,0,0,1,0,0,1
111,0,2,14.5,1,0,1,0,1,0,0
112,0,2,22.0,0,0,0,1,0,0,1
113,0,2,20.0,1,0,1,0,0,0,1
114,0,2,17.0,0,0,1,0,1,0,0
115,0,2,21.0,0,0,0,1,0,0,1
116,0,2,70.5,0,0,0,1,0,1,0
117,0,1,29.0,1,0,0,1,0,0,1
118,0,0,24.0,0,1,0,1,1,0,0
119,0,2,2.0,4,2,1,0,0,0,1
120,0,1,21.0,2,0,0,1,0,0,1
121,0,2,29.69911764705882,0,0,0,1,0,0,1
122,0,1,32.5,1,0,0,1,1,0,0
123,1,1,32.5,0,0,1,0,0,0,1
124,0,0,54.0,0,1,0,1,0,0,1
125,1,2,12.0,1,0,0,1,1,0,0
126,0,2,29.69911764705882,0,0,0,1,0,1,0
127,1,2,24.0,0,0,0,1,0,0,1
128,1,2,29.69911764705882,1,1,1,0,1,0,0
129,0,2,45.0,0,0,0,1,0,0,1
130,0,2,33.0,0,0,0,1,1,0,0
131,0,2,20.0,0,0,0,1,0,0,1
132,0,2,47.0,1,0,1,0,0,0,1
133,1,1,29.0,1,0,1,0,0,0,1
134,0,1,25.0,0,0,0,1,0,0,1
135,0,1,23.0,0,0,0,1,1,0,0
136,1,0,19.0,0,2,1,0,0,0,1
137,0,0,37.0,1,0,0,1,0,0,1
138,0,2,16.0,0,0,0,1,0,0,1
139,0,0,24.0,0,0,0,1,1,0,0
140,0,2,29.69911764705882,0,2,1,0,1,0,0
141,1,2,22.0,0,0,1,0,0,0,1
142,1,2,24.0,1,0,1,0,0,0,1
143,0,2,19.0,0,0,0,1,0,1,0
144,0,1,18.0,0,0,0,1,0,0,1
145,0,1,19.0,1,1,0,1,0,0,1
146,1,2,27.0,0,0,0,1,0,0,1
147,0,2,9.0,2,2,1,0,0,0,1
148,0,1,36.5,0,2,0,1,0,0,1
149,0,1,42.0,0,0,0,1,0,0,1
150,0,1,51.0,0,0,0,1,0,0,1
151,1,0,22.0,1,0,1,0,0,0,1
152,0,2,55.5,0,0,0,1,0,0,1
153,0,2,40.5,0,2,0,1,0,0,1
154,0,2,29.69911764705882,0,0,0,1,0,0,1
155,0,0,51.0,0,1,0,1,1,0,0
156,1,2,16.0,0,0,1,0,0,1,0
157,0,2,30.0,0,0,0,1,0,0,1
158,0,2,29.69911764705882,0,0,0,1,0,0,1
159,0,2,29.69911764705882,8,2,0,1,0,0,1
160,0,2,44.0,0,1,0,1,0,0,1
161,1,1,40.0,0,0,1,0,0,0,1
162,0,2,26.0,0,0,0,1,0,0,1
163,0,2,17.0,0,0,0,1,0,0,1
164,0,2,1.0,4,1,0,1,0,0,1
165,1,2,9.0,0,2,0,1,0,0,1
166,1,0,29.69911764705882,0,1,1,0,0,0,1
167,0,2,45.0,1,4,1,0,0,0,1
168,0,0,29.69911764705882,0,0,0,1,0,0,1
169,0,2,28.0,0,0,0,1,0,0,1
170,0,0,61.0,0,0,0,1,0,0,1
171,0,2,4.0,4,1,0,1,0,1,0
172,1,2,1.0,1,1,1,0,0,0,1
173,0,2,21.0,0,0,0,1,0,0,1
174,0,0,56.0,0,0,0,1,1,0,0
175,0,2,18.0,1,1,0,1,0,0,1
176,0,2,29.69911764705882,3,1,0,1,0,0,1
177,0,0,50.0,0,0,1,0,1,0,0
178,0,1,30.0,0,0,0,1,0,0,1
179,0,2,36.0,0,0,0,1,0,0,1
180,0,2,29.69911764705882,8,2,1,0,0,0,1
181,0,1,29.69911764705882,0,0,0,1,1,0,0
182,0,2,9.0,4,2,0,1,0,0,1
183,1,1,1.0,2,1,0,1,0,0,1
184,1,2,4.0,0,2,1,0,0,0,1
185,0,0,29.69911764705882,0,0,0,1,0,0,1
186,1,2,29.69911764705882,1,0,1,0,0,1,0
187,1,0,45.0,0,0,0,1,0,0,1
188,0,2,40.0,1,1,0,1,0,1,0
189,0,2,36.0,0,0,0,1,0,0,1
190,1,1,32.0,0,0,1,0,0,0,1
191,0,1,19.0,0,0,0,1,0,0,1
192,1,2,19.0,1,0,1,0,0,0,1
193,1,1,3.0,1,1,0,1,0,0,1
194,1,0,44.0,0,0,1,0,1,0,0
195,1,0,58.0,0,0,1,0,1,0,0
196,0,2,29.69911764705882,0,0,0,1,0,1,0
197,0,2,42.0,0,1,0,1,0,0,1
198,1,2,29.69911764705882,0,0,1,0,0,1,0
199,0,1,24.0,0,0,1,0,0,0,1
200,0,2,28.0,0,0,0,1,0,0,1
201,0,2,29.69911764705882,8,2,0,1,0,0,1
202,0,2,34.0,0,0,0,1,0,0,1
203,0,2,45.5,0,0,0,1,1,0,0
204,1,2,18.0,0,0,0,1,0,0,1
205,0,2,2.0,0,1,1,0,0,0,1
206,0,2,32.0,1,0,0,1,0,0,1
207,1,2,26.0,0,0,0,1,1,0,0
208,1,2,16.0,0,0,1,0,0,1,0
209,1,0,40.0,0,0,0,1,1,0,0
210,0,2,24.0,0,0,0,1,0,0,1
211,1,1,35.0,0,0,1,0,0,0,1
212,0,2,22.0,0,0,0,1,0,0,1
213,0,1,30.0,0,0,0,1,0,0,1
214,0,2,29.69911764705882,1,0,0,1,0,1,0
215,1,0,31.0,1,0,1,0,1,0,0
216,1,2,27.0,0,0,1,0,0,0,1
217,0,1,42.0,1,0,0,1,0,0,1
218,1,0,32.0,0,0,1,0,1,0,0
219,0,1,30.0,0,0,0,1,0,0,1
220,1,2,16.0,0,0,0,1,0,0,1
221,0,1,27.0,0,0,0,1,0,0,1
222,0,2,51.0,0,0,0,1,0,0,1
223,0,2,29.69911764705882,0,0,0,1,0,0,1
224,1,0,38.0,1,0,0,1,0,0,1
225,0,2,22.0,0,0,0,1,0,0,1
226,1,1,19.0,0,0,0,1,0,0,1
227,0,2,20.5,0,0,0,1,0,0,1
228,0,1,18.0,0,0,0,1,0,0,1
229,0,2,29.69911764705882,3,1,1,0,0,0,1
230,1,0,35.0,1,0,1,0,0,0,1
231,0,2,29.0,0,0,0,1,0,0,1
232,0,1,59.0,0,0,0,1,0,0,1
233,1,2,5.0,4,2,1,0,0,0,1
234,0,1,24.0,0,0,0,1,0,0,1
235,0,2,29.69911764705882,0,0,1,0,0,0,1
236,0,1,44.0,1,0,0,1,0,0,1
237,1,1,8.0,0,2,1,0,0,0,1
238,0,1,19.0,0,0,0,1,0,0,1
239,0,1,33.0,0,0,0,1,0,0,1
240,0,2,29.69911764705882,1,0,1,0,1,0,0
241,1,2,29.69911764705882,1,0,1,0,0,1,0
242,0,1,29.0,0,0,0,1,0,0,1
243,0,2,22.0,0,0,0,1,0,0,1
244,0,2,30.0,0,0,0,1,1,0,0
245,0,0,44.0,2,0,0,1,0,1,0
246,0,2,25.0,0,0,1,0,0,0,1
247,1,1,24.0,0,2,1,0,0,0,1
248,1,0,37.0,1,1,0,1,0,0,1
249,0,1,54.0,1,0,0,1,0,0,1
250,0,2,29.69911764705882,0,0,0,1,0,0,1
251,0,2,29.0,1,1,1,0,0,0,1
252,0,0,62.0,0,0,0,1,0,0,1
253,0,2,30.0,1,0,0,1,0,0,1
254,0,2,41.0,0,2,1,0,0,0,1
255,1,2,29.0,0,2,1,0,1,0,0
256,1,0,29.69911764705882,0,0,1,0,1,0,0
257,1,0,30.0,0,0,1,0,0,0,1
258,1,0,35.0,0,0,1,0,1,0,0
259,1,1,50.0,0,1,1,0,0,0,1
260,0,2,29.69911764705882,0,0,0,1,0,1,0
261,1,2,3.0,4,2,0,1,0,0,1
262,0,0,52.0,1,1,0,1,0,0,1
263,0,0,40.0,0,0,0,1,0,0,1
264,0,2,29.69911764705882,0,0,1,0,0,1,0
265,0,1,36.0,0,0,0,1,0,0,1
266,0,2,16.0,4,1,0,1,0,0,1
267,1,2,25.0,1,0,0,1,0,0,1
268,1,0,58.0,0,1,1,0,0,0,1
269,1,0,35.0,0,0,1,0,0,0,1
270,0,0,29.69911764705882,0,0,0,1,0,0,1
271,1,2,25.0,0,0,0,1,0,0,1
272,1,1,41.0,0,1,1,0,0,0,1
273,0,0,37.0,0,1,0,1,1,0,0
274,1,2,29.69911764705882,0,0,1,0,0,1,0
275,1,0,63.0,1,0,1,0,0,0,1
276,0,2,45.0,0,0,1,0,0,0,1
277,0,1,29.69911764705882,0,0,0,1,0,0,1
278,0,2,7.0,4,1,0,1,0,1,0
279,1,2,35.0,1,1,1,0,0,0,1
280,0,2,65.0,0,0,0,1,0,1,0
281,0,2,28.0,0,0,0,1,0,0,1
282,0,2,16.0,0,0,0,1,0,0,1
283,1,2,19.0,0,0,0,1,0,0,1
284,0,0,29.69911764705882,0,0,0,1,0,0,1
285,0,2,33.0,0,0,0,1,1,0,0
286,1,2,30.0,0,0,0,1,0,0,1
287,0,2,22.0,0,0,0,1,0,0,1
288,1,1,42.0,0,0,0,1,0,0,1
289,1,2,22.0,0,0,1,0,0,1,0
290,1,0,26.0,0,0,1,0,0,0,1
291,1,0,19.0,1,0,1,0,1,0,0
292,0,1,36.0,0,0,0,1,1,0,0
293,0,2,24.0,0,0,1,0,0,0,1
294,0,2,24.0,0,0,0,1,0,0,1
295,0,0,29.69911764705882,0,0,0,1,1,0,0
296,0,2,23.5,0,0,0,1,1,0,0
297,0,0,2.0,1,2,1,0,0,0,1
298,1,0,29.69911764705882,0,0,0,1,0,0,1
299,1,0,50.0,0,1,1,0,1,0,0
300,1,2,29.69911764705882,0,0,1,0,0,1,0
301,1,2,29.69911764705882,2,0,0,1,0,1,0
302,0,2,19.0,0,0,0,1,0,0,1
303,1,1,29.69911764705882,0,0,1,0,0,1,0
304,0,2,29.69911764705882,0,0,0,1,0,0,1
305,1,0,0.92,1,2,0,1,0,0,1
306,1,0,29.69911764705882,0,0,1,0,1,0,0
307,1,0,17.0,1,0,1,0,1,0,0
308,0,1,30.0,1,0,0,1,1,0,0
309,1,0,30.0,0,0,1,0,1,0,0
310,1,0,24.0,0,0,1,0,1,0,0
311,1,0,18.0,2,2,1,0,1,0,0
312,0,1,26.0,1,1,1,0,0,0,1
313,0,2,28.0,0,0,0,1,0,0,1
314,0,1,43.0,1,1,0,1,0,0,1
315,1,2,26.0,0,0,1,0,0,0,1
316,1,1,24.0,1,0,1,0,0,0,1
317,0,1,54.0,0,0,0,1,0,0,1
318,1,0,31.0,0,2,1,0,0,0,1
319,1,0,40.0,1,1,1,0,1,0,0
320,0,2,22.0,0,0,0,1,0,0,1
321,0,2,27.0,0,0,0,1,0,0,1
322,1,1,30.0,0,0,1,0,0,1,0
323,1,1,22.0,1,1,1,0,0,0,1
324,0,2,29.69911764705882,8,2,0,1,0,0,1
325,1,0,36.0,0,0,1,0,1,0,0
326,0,2,61.0,0,0,0,1,0,0,1
327,1,1,36.0,0,0,1,0,0,0,1
328,1,2,31.0,1,1,1,0,0,0,1
329,1,0,16.0,0,1,1,0,1,0,0
330,1,2,29.69911764705882,2,0,1,0,0,1,0
331,0,0,45.5,0,0,0,1,0,0,1
332,0,0,38.0,0,1,0,1,0,0,1
333,0,2,16.0,2,0,0,1,0,0,1
334,1,0,29.69911764705882,1,0,1,0,0,0,1
335,0,2,29.69911764705882,0,0,0,1,0,0,1
336,0,0,29.0,1,0,0,1,0,0,1
337,1,0,41.0,0,0,1,0,1,0,0
338,1,2,45.0,0,0,0,1,0,0,1
339,0,0,45.0,0,0,0,1,0,0,1
340,1,1,2.0,1,1,0,1,0,0,1
341,1,0,24.0,3,2,1,0,0,0,1
342,0,1,28.0,0,0,0,1,0,0,1
343,0,1,25.0,0,0,0,1,0,0,1
344,0,1,36.0,0,0,0,1,0,0,1
345,1,1,24.0,0,0,1,0,0,0,1
346,1,1,40.0,0,0,1,0,0,0,1
347,1,2,29.69911764705882,1,0,1,0,0,0,1
348,1,2,3.0,1,1,0,1,0,0,1
349,0,2,42.0,0,0,0,1,0,0,1
350,0,2,23.0,0,0,0,1,0,0,1
351,0,0,29.69911764705882,0,0,0,1,0,0,1
352,0,2,15.0,1,1,0,1,1,0,0
353,0,2,25.0,1,0,0,1,0,0,1
354,0,2,29.69911764705882,0,0,0,1,1,0,0
355,0,2,28.0,0,0,0,1,0,0,1
356,1,0,22.0,0,1,1,0,0,0,1
357,0,1,38.0,0,0,1,0,0,0,1
358,1,2,29.69911764705882,0,0,1,0,0,1,0
359,1,2,29.69911764705882,0,0,1,0,0,1,0
360,0,2,40.0,1,4,0,1,0,0,1
361,0,1,29.0,1,0,0,1,1,0,0
362,0,2,45.0,0,1,1,0,1,0,0
363,0,2,35.0,0,0,0,1,0,0,1
364,0,2,29.69911764705882,1,0,0,1,0,1,0
365,0,2,30.0,0,0,0,1,0,0,1
366,1,0,60.0,1,0,1,0,1,0,0
367,1,2,29.69911764705882,0,0,1,0,1,0,0
368,1,2,29.69911764705882,0,0,1,0,0,1,0
369,1,0,24.0,0,0,1,0,1,0,0
370,1,0,25.0,1,0,0,1,1,0,0
371,0,2,18.0,1,0,0,1,0,0,1
372,0,2,19.0,0,0,0,1,0,0,1
373,0,0,22.0,0,0,0,1,1,0,0
374,0,2,3.0,3,1,1,0,0,0,1
375,1,0,29.69911764705882,1,0,1,0,1,0,0
376,1,2,22.0,0,0,1,0,0,0,1
377,0,0,27.0,0,2,0,1,1,0,0
378,0,2,20.0,0,0,0,1,1,0,0
379,0,2,19.0,0,0,0,1,0,0,1
380,1,0,42.0,0,0,1,0,1,0,0
381,1,2,1.0,0,2,1,0,1,0,0
382,0,2,32.0,0,0,0,1,0,0,1
383,1,0,35.0,1,0,1,0,0,0,1
384,0,2,29.69911764705882,0,0,0,1,0,0,1
385,0,1,18.0,0,0,0,1,0,0,1
386,0,2,1.0,5,2,0,1,0,0,1
387,1,1,36.0,0,0,1,0,0,0,1
388,0,2,29.69911764705882,0,0,0,1,0,1,0
389,1,1,17.0,0,0,1,0,1,0,0
390,1,0,36.0,1,2,0,1,0,0,1
391,1,2,21.0,0,0,0,1,0,0,1
392,0,2,28.0,2,0,0,1,0,0,1
393,1,0,23.0,1,0,1,0,1,0,0
394,1,2,24.0,0,2,1,0,0,0,1
395,0,2,22.0,0,0,0,1,0,0,1
396,0,2,31.0,0,0,1,0,0,0,1
397,0,1,46.0,0,0,0,1,0,0,1
398,0,1,23.0,0,0,0,1,0,0,1
399,1,1,28.0,0,0,1,0,0,0,1
400,1,2,39.0,0,0,0,1,0,0,1
401,0,2,26.0,0,0,0,1,0,0,1
402,0,2,21.0,1,0,1,0,0,0,1
403,0,2,28.0,1,0,0,1,0,0,1
404,0,2,20.0,0,0,1,0,0,0,1
405,0,1,34.0,1,0,0,1,0,0,1
406,0,2,51.0,0,0,0,1,0,0,1
407,1,1,3.0,1,1,0,1,0,0,1
408,0,2,21.0,0,0,0,1,0,0,1
409,0,2,29.69911764705882,3,1,1,0,0,0,1
410,0,2,29.69911764705882,0,0,0,1,0,0,1
411,0,2,29.69911764705882,0,0,0,1,0,1,0
412,1,0,33.0,1,0,1,0,0,1,0
413,0,1,29.69911764705882,0,0,0,1,0,0,1
414,1,2,44.0,0,0,0,1,0,0,1
415,0,2,29.69911764705882,0,0,1,0,0,0,1
416,1,1,34.0,1,1,1,0,0,0,1
417,1,1,18.0,0,2,1,0,0,0,1
418,0,1,30.0,0,0,0,1,0,0,1
419,0,2,10.0,0,2,1,0,0,0,1
420,0,2,29.69911764705882,0,0,0,1,1,0,0
421,0,2,21.0,0,0,0,1,0,1,0
422,0,2,29.0,0,0,0,1,0,0,1
423,0,2,28.0,1,1,1,0,0,0,1
424,0,2,18.0,1,1,0,1,0,0,1
425,0,2,29.69911764705882,0,0,0,1,0,0,1
426,1,1,28.0,1,0,1,0,0,0,1
427,1,1,19.0,0,0,1,0,0,0,1
428,0,2,29.69911764705882,0,0,0,1,0,1,0
429,1,2,32.0,0,0,0,1,0,0,1
430,1,0,28.0,0,0,0,1,0,0,1
431,1,2,29.69911764705882,1,0,1,0,0,0,1
432,1,1,42.0,1,0,1,0,0,0,1
433,0,2,17.0,0,0,0,1,0,0,1
434,0,0,50.0,1,0,0,1,0,0,1
435,1,0,14.0,1,2,1,0,0,0,1
436,0,2,21.0,2,2,1,0,0,0,1
437,1,1,24.0,2,3,1,0,0,0,1
438,0,0,64.0,1,4,0,1,0,0,1
439,0,1,31.0,0,0,0,1,0,0,1
440,1,1,45.0,1,1,1,0,0,0,1
441,0,2,20.0,0,0,0,1,0,0,1
442,0,2,25.0,1,0,0,1,0,0,1
443,1,1,28.0,0,0,1,0,0,0,1
444,1,2,29.69911764705882,0,0,0,1,0,0,1
445,1,0,4.0,0,2,0,1,0,0,1
